Swallow ID	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	Landmark_11_x	Landmark_11_y	Landmark_12_x	Landmark_12_y
Norm072_Tsp_Pud_morphoj_1	218	255	260	381	328.222142006085	350.736137479642	345.076360636072	278.171030637251	364.105317153799	211.767112111667	356.493734546708	192.598970681601	345.076360636072	178.907441088697	315.173714679643	172.061676292245	286	236	320.610559398994	249.418818492153	335.905810573512	299.732245331109	343.034504096904	251.555727653884
Norm072_Tsp_Pud_morphoj_2	218.403350830078	255.236877441406	260.044372558594	380.735725402832	328.222142006085	350.736137479642	345.076360636072	278.171030637251	364.105317153799	211.767112111667	355.950050074773	193.283547161247	345.076360636072	178.907441088697	315.173714679643	172.061676292245	286.482971191406	236.162704467773	320.610559398994	249.418818492153	335.905810573512	299.732245331109	343.034504096904	251.555727653884
Norm072_Tsp_Pud_morphoj_3	218.66015625	255.425369262695	260.262817382812	380.634506225586	328.222142006085	350.736137479642	345.076360636072	278.171030637251	364.105317153799	211.767112111667	354.862681130903	196.021853079827	345.076360636072	179.592017568343	315.173714679643	172.061676292245	287.097473144531	236.454772949219	320.610559398994	249.418818492153	335.905810573512	299.732245331109	344.222619684135	252.15049947706
Norm072_Tsp_Pud_morphoj_4	219.184744700081	254.903527470472	260.528503417969	380.879440307617	328.222142006085	350.736137479642	345.076360636072	278.171030637251	364.105317153799	211.767112111667	354.862681130903	196.706429559473	345.076360636072	179.592017568343	315.173714679643	172.061676292245	287.695434570312	236.931182861328	322.241612814799	250.103394971798	335.905810573512	299.732245331109	344.816677477751	253.340043123411
Norm072_Tsp_Pud_morphoj_5	219.453231811523	256.120239257812	260.822540283203	381.239959716797	328.222142006085	350.736137479642	345.076360636072	278.171030637251	364.105317153799	211.767112111667	354.318996658968	204.23677083557	345.076360636072	179.592017568343	315.173714679643	172.061676292245	288.244873046875	237.882949829102	323.328981758669	251.472547931088	335.905810573512	299.732245331109	344.816677477751	256.313902239289
Norm072_Tsp_Pud_morphoj_6	219.649230957031	256.463623046875	260.763244628906	381.593040466309	328.222142006085	350.736137479642	345.076360636072	278.171030637251	364.105317153799	211.767112111667	351.600574299292	213.820841550603	345.076360636072	183.699476446214	315.173714679643	180.276594047988	287.989491082891	239.150171297475	324.960035174475	256.264583288605	334.123637192664	302.111332623811	343.034504096904	259.882533178343
Norm072_Tsp_Pud_morphoj_7	219.618804931641	256.832321166992	260.926483154297	381.926818847656	328.222142006085	350.736137479642	346.707414051877	278.171030637251	364.105317153799	211.767112111667	349.425836411552	224.774065224926	345.076360636072	190.545241242666	315.173714679643	190.545241242666	287.989491082891	239.150171297475	323.872666230604	256.94915976825	333.529579399048	302.111332623811	341.252330716056	264.640707763748
Norm072_Tsp_Pud_morphoj_8	219.547973632812	257.305221557617	260.923522949219	382.117729187012	328.222142006085	350.736137479642	346.707414051877	278.171030637251	364.105317153799	211.767112111667	346.707414051877	232.304406501023	341.814253804461	199.444735478053	314.086345735773	193.968123640892	285.271068723215	242.573053695701	323.328981758669	259.002889207186	332.935521605432	302.111332623811	339.470157335208	269.993654172328
Norm072_Tsp_Pud_morphoj_9	219.501800537109	257.782485961914	261.05810546875	382.29972076416	328.222142006085	350.736137479642	346.707414051877	278.171030637251	364.105317153799	211.767112111667	346.707414051877	237.096441858539	340.183200388656	208.344229713441	314.086345735773	197.391006039118	283.096330835475	243.942206654991	323.328981758669	259.687465686831	335.905810573512	302.706104446987	339.470157335208	272.967513288206
Norm072_Tsp_Pud_morphoj_10	219.559799194336	258.115264892578	261.149963378906	382.479011535645	328.222142006085	350.736137479642	346.707414051877	278.171030637251	364.105317153799	211.767112111667	345.076360636072	240.519324256765	336.921093557046	215.189994509893	309.736869960293	204.921347315215	279.29053953193	243.942206654991	318.979505983189	256.94915976825	335.311752779896	302.706104446987	341.252330716056	273.562285111382
